id,url,label
0,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1563.JPG,Corn_(maize)___Common_rust_
1,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1563_flipLR.JPG,Corn_(maize)___Common_rust_
2,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1564.JPG,Corn_(maize)___Common_rust_
3,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1565.JPG,Corn_(maize)___Common_rust_
4,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1566.JPG,Corn_(maize)___Common_rust_
5,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1566_flipLR.JPG,Corn_(maize)___Common_rust_
6,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1567.JPG,Corn_(maize)___Common_rust_
7,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1567_flipLR.JPG,Corn_(maize)___Common_rust_
8,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1568.JPG,Corn_(maize)___Common_rust_
9,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1568_flipLR.JPG,Corn_(maize)___Common_rust_
10,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1569.JPG,Corn_(maize)___Common_rust_
11,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1569_flipLR.JPG,Corn_(maize)___Common_rust_
12,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1570.JPG,Corn_(maize)___Common_rust_
13,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1570_flipLR.JPG,Corn_(maize)___Common_rust_
14,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1571.JPG,Corn_(maize)___Common_rust_
15,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1571_flipLR.JPG,Corn_(maize)___Common_rust_
16,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1572.JPG,Corn_(maize)___Common_rust_
17,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1572_flipLR.JPG,Corn_(maize)___Common_rust_
18,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1573.JPG,Corn_(maize)___Common_rust_
19,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1573_flipLR.JPG,Corn_(maize)___Common_rust_
20,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1574_flipLR.JPG,Corn_(maize)___Common_rust_
21,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1575.JPG,Corn_(maize)___Common_rust_
22,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1575_flipLR.JPG,Corn_(maize)___Common_rust_
23,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1576_flipLR.JPG,Corn_(maize)___Common_rust_
24,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1577.JPG,Corn_(maize)___Common_rust_
25,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1578.JPG,Corn_(maize)___Common_rust_
26,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1578_flipLR.JPG,Corn_(maize)___Common_rust_
27,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1579_flipLR.JPG,Corn_(maize)___Common_rust_
28,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1580.JPG,Corn_(maize)___Common_rust_
29,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1580_flipLR.JPG,Corn_(maize)___Common_rust_
30,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1581_flipLR.JPG,Corn_(maize)___Common_rust_
31,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1582.JPG,Corn_(maize)___Common_rust_
32,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1583.JPG,Corn_(maize)___Common_rust_
33,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1584.JPG,Corn_(maize)___Common_rust_
34,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1584_flipLR.JPG,Corn_(maize)___Common_rust_
35,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1586.JPG,Corn_(maize)___Common_rust_
36,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1586_flipLR.JPG,Corn_(maize)___Common_rust_
37,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1587.JPG,Corn_(maize)___Common_rust_
38,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1587_flipLR.JPG,Corn_(maize)___Common_rust_
39,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1588_flipLR.JPG,Corn_(maize)___Common_rust_
40,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1589.JPG,Corn_(maize)___Common_rust_
41,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1589_flipLR.JPG,Corn_(maize)___Common_rust_
42,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1590_flipLR.JPG,Corn_(maize)___Common_rust_
43,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1591.JPG,Corn_(maize)___Common_rust_
44,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1591_flipLR.JPG,Corn_(maize)___Common_rust_
45,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1592_flipLR.JPG,Corn_(maize)___Common_rust_
46,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1593.JPG,Corn_(maize)___Common_rust_
47,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1593_flipLR.JPG,Corn_(maize)___Common_rust_
48,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1594.JPG,Corn_(maize)___Common_rust_
49,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1594_flipLR.JPG,Corn_(maize)___Common_rust_
50,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1595.JPG,Corn_(maize)___Common_rust_
51,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1595_flipLR.JPG,Corn_(maize)___Common_rust_
52,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1596_flipLR.JPG,Corn_(maize)___Common_rust_
53,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1597.JPG,Corn_(maize)___Common_rust_
54,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1597_flipLR.JPG,Corn_(maize)___Common_rust_
55,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1598.JPG,Corn_(maize)___Common_rust_
56,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1599.JPG,Corn_(maize)___Common_rust_
57,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1600.JPG,Corn_(maize)___Common_rust_
58,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1600_flipLR.JPG,Corn_(maize)___Common_rust_
59,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1601.JPG,Corn_(maize)___Common_rust_
60,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1601_flipLR.JPG,Corn_(maize)___Common_rust_
61,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1602.JPG,Corn_(maize)___Common_rust_
62,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1602_flipLR.JPG,Corn_(maize)___Common_rust_
63,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1603.JPG,Corn_(maize)___Common_rust_
64,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1603_flipLR.JPG,Corn_(maize)___Common_rust_
65,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1604.JPG,Corn_(maize)___Common_rust_
66,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1604_flipLR.JPG,Corn_(maize)___Common_rust_
67,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1605.JPG,Corn_(maize)___Common_rust_
68,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1606.JPG,Corn_(maize)___Common_rust_
69,https://kaggle-plants.s3.amazonaws.com/Corn_(maize)___Common_rust_/RS_Rust 1606_flipLR.JPG,Corn_(maize)___Common_rust_
